empresa_id,empresa_nombre,ruta_hex,ruta_nombre,hora,mean_id,total_trips,trips_ok,pct_trips_ok
0003,1° De Mayo.-Linea 133,0001,2 1 (ÑEMBY → LUQUE),,00032,1,0,0.0
0003,1° De Mayo.-Linea 133,0001,2 1 (ÑEMBY → LUQUE),,00034,1,0,0.0
0003,1° De Mayo.-Linea 133,0001,2 1 (ÑEMBY → LUQUE),,0003a,1,0,0.0
0003,1° De Mayo.-Linea 133,0001,2 1 (ÑEMBY → LUQUE),,0003b,1,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00003,1,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00005,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00012,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00014,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,0001c,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,0001f,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00022,1,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00030,1,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00031,1,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00033,1,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00034,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00035,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,00037,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,0003a,2,0,0.0
0003,1° De Mayo.-Linea 133,0002,2 1 (LUQUE → ÑEMBY),,0003b,2,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00003,2,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00005,3,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00007,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,0000c,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,0000e,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00012,3,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00014,2,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00016,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00017,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00018,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,0001c,3,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,0001f,3,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00021,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00022,2,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00026,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00028,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00030,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00031,2,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00032,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00033,3,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00034,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00035,3,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00037,3,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00038,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,00039,2,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,0003a,1,0,0.0
0003,1° De Mayo.-Linea 133,0012,5 1 (LUQUE → ASUNCIÓN),,0003b,1,0,0.0
0003,1° De Mayo.-Linea 133,0013,5 1 (ASUNCIÓN → LUQUE),,00003,2,0,0.0
0003,1° De Mayo.-Linea 133,0013,5 1 (ASUNCIÓN → LUQUE),,00022,1,0,0.0
0003,1° De Mayo.-Linea 133,0013,5 1 (ASUNCIÓN → LUQUE),,00030,2,0,0.0
0003,1° De Mayo.-Linea 133,0013,5 1 (ASUNCIÓN → LUQUE),,00031,2,0,0.0
0003,1° De Mayo.-Linea 133,0013,5 1 (ASUNCIÓN → LUQUE),,00032,1,0,0.0
